id,name,price,expires,
669,Soup - Campbells Pasta Fagioli,2.88,5/18/2019,
670,Potatoes - Mini White 3 Oz,2.02,3/21/2019,
671,Icecream Bar - Del Monte,2.83,1/15/2019,
672,Puree - Mocha,5,10/15/2019,
673,Eel - Smoked,2.88,2/27/2019,
674,Flower - Daisies,1.01,8/7/2019,
675,Cotton Wet Mop 16 Oz,4.37,3/30/2019,
676,Five Alive Citrus,1.59,8/10/2019,
677,Cheese - Mix,4.31,11/21/2019,
678,Nacho Chips,3.28,1/31/2019,
679,Pail For Lid 1537,1.7,5/15/2019,
680,Pineapple - Golden,4.57,8/21/2019,
681,Banana Turning,4.87,8/29/2019,
682,Boogies,3.89,12/4/2019,
683,Mushroom - Morel Frozen,2.78,3/7/2019,
684,Wine - Hardys Bankside Shiraz,3.32,5/4/2019,
685,Carbonated Water - Lemon Lime,2.27,3/5/2019,
686,Beef - Texas Style Burger,3.75,5/12/2019,
687,Monkfish - Fresh,4.64,7/11/2019,
688,"Pepper - Chipotle, Canned",3.71,3/3/2019,
689,Beets - Mini Golden,2.63,11/7/2019,
690,Tomatoes - Hot House,3.09,7/7/2019,
691,Oil - Olive Bertolli,1.25,12/26/2019,
692,Magnotta Bel Paese Red,1.43,12/11/2019,
693,Bandage - Fexible 1x3,2.33,10/17/2019,
694,Hot Choc Vending,4.84,5/19/2019,
695,"Onions - Dried, Chopped",3.72,6/4/2019,
696,Wine - Chateau Aqueria Tavel,3.16,10/25/2019,
697,Basil - Fresh,2.34,6/25/2019,
698,Walkers Special Old Whiskey,3.83,8/20/2019,
699,Tomato - Tricolor Cherry,4.8,2/20/2019,
700,Mince Meat - Filling,3.63,1/6/2019,
701,Beer - Original Organic Lager,4.27,1/14/2019,
702,Calvados - Boulard,1,4/16/2019,
703,Nantucket Cranberry Juice,4.19,12/16/2019,
704,Squash - Sunburst,2.47,3/8/2019,
705,"Wine - Niagara,vqa Reisling",4.49,8/2/2019,
706,Muffin - Mix - Strawberry Rhubarb,2.75,3/2/2019,
707,"Wine - Red, Colio Cabernet",1.25,9/5/2019,
708,Pastry - Key Limepoppy Seed Tea,4.16,7/6/2019,
709,Calypso - Pineapple Passion,3.34,1/19/2019,
710,Hog / Sausage Casing - Pork,2.2,2/22/2019,
711,"Sugar - Brown, Individual",1.7,6/13/2019,
712,Longos - Grilled Veg Sandwiches,2.39,9/11/2019,
713,Salt And Pepper Mix - White,1.26,7/10/2019,
714,Nantucket - 518ml,2.59,4/22/2019,
715,Potatoes - Idaho 100 Count,3.89,8/25/2019,
716,Cookie Dough - Peanut Butter,3.64,1/18/2019,
717,Tea - Vanilla Chai,3.96,3/28/2019,
718,Ecolab Silver Fusion,1.43,2/23/2019,
719,Bag Stand,4.72,3/15/2019,
720,Tart - Pecan Butter Squares,3.93,1/16/2019,
721,Chambord Royal,2.33,10/17/2019,
722,Pork - Inside,3.19,10/3/2019,
723,"Wine - Mas Chicet Rose, Vintage",4.41,4/15/2019,
724,Celery,4.08,4/24/2019,
725,"Mushroom - Morels, Dry",2.5,6/10/2019,
726,Sauce Tomato Pouch,4.98,8/21/2019,
727,Pastry - Apple Large,1.79,9/20/2019,
728,Grenadine,3.91,1/8/2019,
729,Pomegranates,2.77,2/2/2019,
730,Bread Crumbs - Japanese Style,4.45,5/30/2019,
731,Pastry - Trippleberry Muffin - Mini,1.27,7/19/2019,
732,Flour - Semolina,2.46,8/14/2019,
733,Seaweed Green Sheets,1.03,2/26/2019,
734,"Juice - Orange, Concentrate",3.27,1/17/2019,
735,Cake Slab,4.5,9/14/2019,
736,Spinach - Baby,2.17,9/2/2019,
737,Higashimaru Usukuchi Soy,4.93,12/16/2019,
738,"Leeks - Baby, White",3.43,4/4/2019,
739,"Beans - Black Bean, Canned",2.6,8/20/2019,
740,Sun - Dried Tomatoes,3,12/4/2019,
741,Tea - Herbal I Love Lemon,2.92,11/11/2019,
742,Soap - Pine Sol Floor Cleaner,3.99,8/25/2019,
743,Eggplant - Asian,2.82,7/29/2019,
744,Potatoes - Pei 10 Oz,1.49,3/20/2019,
745,Lettuce - Arugula,2.59,12/23/2019,
746,Sambuca - Opal Nera,1.91,1/23/2019,
747,Curry Powder Madras,3.41,1/31/2019,
748,Carbonated Water - Peach,2.77,11/18/2019,
749,Fuji Apples,4.42,9/22/2019,
750,Limes,3.21,6/5/2019,
751,Calypso - Strawberry Lemonade,1.52,7/29/2019,
752,Bread Base - Toscano,4.28,8/23/2019,
753,Cake - Cheese Cake 9 Inch,4.3,8/6/2019,
754,Teriyaki Sauce,4.5,1/31/2019,
755,"Pepper - Black, Crushed",4.05,8/27/2019,
756,Higashimaru Usukuchi Soy,4.52,4/18/2019,
757,"Soup - Knorr, Chicken Gumbo",4.51,3/21/2019,
758,Beer - Moosehead,3.28,1/12/2019,
759,True - Vue Containers,2.1,4/19/2019,
760,"Beans - Black Bean, Canned",2.76,1/17/2019,
761,Shrimp - Black Tiger 13/15,2.19,6/6/2019,
762,Bok Choy - Baby,3.57,7/29/2019,
763,"Wine - White, Chardonnay",2.77,10/28/2019,
764,Wine - Winzer Krems Gruner,4.72,6/6/2019,
765,Venison - Striploin,4.96,8/18/2019,
766,Sea Urchin,3.24,1/16/2019,
767,Oil - Coconut,2.58,12/27/2019,
768,Sambuca - Opal Nera,4.3,5/15/2019,
769,The Pop Shoppe - Grape,3.09,5/4/2019,
770,"Wine - Red, Marechal Foch",2.3,6/6/2019,
771,Peach - Fresh,2.04,2/10/2019,
772,Bread - Sour Sticks With Onion,4.35,2/16/2019,
773,Bread - Italian Corn Meal Poly,4.12,6/18/2019,
774,Stainless Steel Cleaner Vision,2.17,1/19/2019,
775,Galliano,4.44,12/5/2019,
776,Island Oasis - Pina Colada,4.82,4/18/2019,
777,Red Cod Fillets - 225g,2.8,12/26/2019,
778,Lambcasing,4.2,8/20/2019,
779,Olive - Spread Tapenade,4.08,11/24/2019,
780,Apricots Fresh,3.65,8/4/2019,
781,Miso - Soy Bean Paste,3.82,5/24/2019,
782,Pepper - Cayenne,3.01,10/5/2019,
783,Raspberries - Fresh,1.72,1/7/2019,
784,Shrimp - Black Tiger 26/30,1.21,10/6/2019,
785,Bread Base - Goodhearth,2.24,4/12/2019,
786,Easy Off Oven Cleaner,4.22,9/13/2019,
787,Ice Cream Bar - Drumstick,3.35,7/23/2019,
788,Muffin Mix - Blueberry,4.49,2/5/2019,
789,Wine - Gewurztraminer Pierre,3.22,2/5/2019,
790,Flour - Masa De Harina Mexican,1.93,2/1/2019,
791,Sesame Seed,3.73,12/28/2019,
792,Napkin - Beverage 1 Ply,2.01,9/9/2019,
793,Lamb - Loin Chops,5,11/28/2019,
794,Gatorade - Fruit Punch,2.75,3/13/2019,
795,Garlic Powder,2.91,1/14/2019,
796,Tofu - Firm,1.72,5/7/2019,
797,Molasses - Fancy,4.45,10/25/2019,
798,"Sauce - Black Current, Dry Mix",3.53,11/26/2019,
799,"Wine - Bourgogne 2002, La",4.24,2/8/2019,
800,"Pepper - Chipotle, Canned",3.89,6/12/2019,
801,Sprouts - Peppercress,3.99,8/29/2019,
802,Graham Cracker Mix,1.15,6/4/2019,
803,Sausage - Blood Pudding,3.64,6/24/2019,
804,Curry Powder,2.34,6/22/2019,
805,Wine - Fontanafredda Barolo,4.63,3/22/2019,
806,Apples - Sliced / Wedge,1.86,10/11/2019,
807,Soup Campbells Beef With Veg,1.97,1/13/2019,
808,"Apple - Delicious, Golden",4.24,3/29/2019,
809,"Roe - Lump Fish, Black",2.2,3/6/2019,
810,Pickle - Dill,3.66,7/2/2019,
811,Mint - Fresh,4.44,5/19/2019,
812,Ham - Cooked Italian,1.65,5/26/2019,
813,"Lamb - Leg, Diced",4.63,9/19/2019,
814,White Fish - Filets,1.03,5/29/2019,
815,Muffin - Banana Nut Individual,3.35,9/15/2019,
816,Soap - Mr.clean Floor Soap,1.95,8/17/2019,
817,Lettuce - Green Leaf,1.96,7/5/2019,
818,Bagelers - Cinn / Brown,3.45,10/25/2019,
819,Lamb Shoulder Boneless Nz,4.6,8/24/2019,
820,Spice - Greek 1 Step,1.52,4/4/2019,
821,Blouse / Shirt / Sweater,2.31,7/20/2019,
822,"Lamb - Loin, Trimmed, Boneless",3.75,4/18/2019,
823,Carbonated Water - Cherry,2.88,3/5/2019,
824,Fireball Whisky,1.41,8/23/2019,
825,Cookie - Oreo 100x2,1.25,3/19/2019,
826,Cheese - Feta,2.46,11/29/2019,
827,Red Currants,2.17,12/18/2019,
828,Potato - Sweet,3.31,10/15/2019,
829,Paper - Brown Paper Mini Cups,2.22,8/14/2019,
830,"Doilies - 7, Paper",4.11,12/15/2019,
831,Pastry - French Mini Assorted,1.19,8/12/2019,
832,Praline Paste,3.51,12/2/2019,
833,Buttons,4.22,9/16/2019,
834,Lettuce - Boston Bib - Organic,3.81,11/28/2019,
835,"Pasta - Lasagne, Fresh",3.63,4/21/2019,
836,Wine - Chardonnay Mondavi,2.5,6/23/2019,
837,"Thyme - Lemon, Fresh",2.45,9/21/2019,
838,Shrimp - 100 / 200 Cold Water,3.1,5/3/2019,
839,Lid - 3oz Med Rec,4.75,1/16/2019,
840,Wine - Cava Aria Estate Brut,2.9,9/7/2019,
841,"Flour - Buckwheat, Dark",3.1,6/28/2019,
842,Extract Vanilla Pure,2.7,7/9/2019,
843,Saskatoon Berries - Frozen,4.59,10/21/2019,
844,"Fish - Scallops, Cold Smoked",2.13,3/10/2019,
845,Veal - Bones,1.22,11/29/2019,
846,"Wine - Red, Cooking",4.14,5/15/2019,
847,Tofu - Soft,3.55,7/15/2019,
848,"Mushroom - Porcini, Dry",2.49,7/22/2019,
849,Wine - Jafflin Bourgongone,4.51,3/13/2019,
850,"Beef - Roasted, Cooked",1.64,12/27/2019,
851,"Coconut - Shredded, Sweet",1.37,8/13/2019,
852,Ginsing - Fresh,2.64,2/1/2019,
853,Cheese - Le Cheve Noir,2.55,3/25/2019,
854,Bread - Raisin Walnut Pull,2.15,5/19/2019,
855,Wine - Sawmill Creek Autumn,2.99,10/23/2019,
856,Wine - Wyndham Estate Bin 777,3.88,9/3/2019,
857,Cheese - Ermite Bleu,2.03,2/19/2019,
858,Glass Clear 7 Oz Xl,2.14,2/25/2019,
859,Veal - Leg,2.81,1/30/2019,
860,Garlic - Elephant,2.25,3/14/2019,
861,"Juice - Clam, 46 Oz",3.88,6/11/2019,
862,Syrup - Chocolate,4.12,11/12/2019,
863,Mushroom - Portebello,4.51,11/14/2019,
864,"Wine - Red, Gallo, Merlot",1.91,11/13/2019,
865,Soap - Hand Soap,4.07,7/10/2019,
866,Pastry - Chocolate Marble Tea,1.19,2/8/2019,
867,Lemon Grass,4.7,6/6/2019,
868,Sauce - Hollandaise,4.5,2/18/2019,
869,Lettuce - Red Leaf,3.17,5/9/2019,
870,Wine - Barolo Fontanafredda,3.26,10/6/2019,
871,Icecream - Dstk Strw Chseck,1.59,8/9/2019,
872,Chocolate - Liqueur Cups With Foil,2.79,1/26/2019,
873,Raisin - Golden,3.88,8/18/2019,
874,Soup - Cream Of Potato / Leek,2.38,12/11/2019,
875,Broom And Broom Rack White,3.89,11/26/2019,
876,Bacardi Limon,1.52,5/24/2019,
877,Ecolab - Balanced Fusion,2.99,12/27/2019,
878,Puree - Pear,2.08,4/14/2019,
879,Apples - Sliced / Wedge,4.26,1/8/2019,
880,Coconut - Whole,3.54,1/6/2019,
881,"Lamb - Leg, Diced",3.37,5/18/2019,
882,Kumquat,3.7,8/1/2019,
883,Appetizer - Veg Assortment,1.69,6/23/2019,
884,Gherkin - Sour,1.85,4/27/2019,
885,Dehydrated Kelp Kombo,3.82,5/31/2019,
886,Ecolab Crystal Fusion,2.74,11/19/2019,
887,"Chocolate - Pistoles, White",2.57,6/20/2019,
888,Rice - 7 Grain Blend,3.02,2/20/2019,
889,Puree - Raspberry,3.56,2/19/2019,
890,Foam Tray S2,3.26,9/13/2019,
891,Sauce - Demi Glace,3.1,9/7/2019,
892,Straw - Regular,4.52,6/7/2019,
893,Oven Mitt - 13 Inch,2.22,6/5/2019,
894,Cheese - Pont Couvert,3.93,2/27/2019,
895,Shopper Bag - S - 4,4.92,3/22/2019,
896,Cake Slab,1.33,7/5/2019,
897,Pork Ham Prager,3.66,5/29/2019,
898,Tequila Rose Cream Liquor,3.51,1/21/2019,
899,Tomatoes - Grape,4.57,4/30/2019,
900,"Pepper - Red, Finger Hot",1.82,10/15/2019,
901,Bowl 12 Oz - Showcase 92012,3.45,5/14/2019,
902,Pepper - Scotch Bonnet,3.53,9/9/2019,
903,Table Cloth 54x54 White,3.68,4/2/2019,
904,"Pork - Ham, Virginia",2.67,8/12/2019,
905,Muffin Hinge - 211n,1.84,12/26/2019,
906,"Soup - Campbells, Minestrone",2.24,8/2/2019,
907,Tea - Earl Grey,1.24,3/23/2019,
908,Taro Root,4.59,12/28/2019,
909,Wine - Zinfandel Rosenblum,4.98,1/24/2019,
910,Quail - Jumbo Boneless,1.65,4/10/2019,
911,Pork - Suckling Pig,4.2,11/9/2019,
912,"Shrimp - 21/25, Peel And Deviened",4.54,3/7/2019,
913,Gherkin - Sour,2.47,6/29/2019,
914,Tea - Honey Green Tea,2.51,5/22/2019,
915,Pasta - Ravioli,1.3,2/22/2019,
916,Lamb Leg - Bone - In Nz,1.5,11/18/2019,
917,"Juice - Pineapple, 48 Oz",2.4,10/28/2019,
918,"Wine - Niagara,vqa Reisling",2.62,5/19/2019,
919,"Flour - Corn, Fine",4.88,11/14/2019,
920,"Yogurt - Blueberry, 175 Gr",2.68,4/20/2019,
921,"Stock - Chicken, White",1.3,7/2/2019,
922,"Napkin - Dinner, White",3.07,9/8/2019,
923,Bacardi Mojito,2.52,1/14/2019,
924,"Lamb - Whole, Frozen",1.44,11/19/2019,
925,"Tortillas - Flour, 8",3.84,8/5/2019,
926,The Pop Shoppe Pinapple,4.62,2/22/2019,
927,Cheese - Valancey,4.85,12/23/2019,
928,"Wine - Saint - Bris 2002, Sauv",2.77,2/26/2019,
929,Kohlrabi,4.49,11/21/2019,
930,Energy - Boo - Koo,4.74,8/5/2019,
931,"Pork - Loin, Bone - In",3.56,6/25/2019,
932,Yoplait Drink,2.81,6/30/2019,
933,"Red Snapper - Fillet, Skin On",3.46,7/27/2019,
934,Vanilla Beans,3.14,6/11/2019,
935,Wine - Taylors Reserve,2.88,6/10/2019,
936,Wooden Mop Handle,3.09,6/8/2019,
937,Cafe Royale,4.14,1/21/2019,
938,"Bread - Pullman, Sliced",1.55,2/18/2019,
939,Cheese Cloth,3.4,3/18/2019,
940,Pastry - Banana Muffin - Mini,2.79,3/10/2019,
941,"Asparagus - White, Fresh",1.89,5/7/2019,
942,Bread - French Baquette,2.44,9/7/2019,
943,Longos - Lasagna Veg,2.81,8/26/2019,
944,Fenngreek Seed,2.9,9/17/2019,
945,Higashimaru Usukuchi Soy,2.01,8/13/2019,
946,Celery,2.86,10/16/2019,
947,Appetizer - Lobster Phyllo Roll,2.72,1/18/2019,
948,"Oil - Shortening,liqud, Fry",1.45,4/26/2019,
949,Plate Pie Foil,4.65,11/5/2019,
950,Red Currant Jelly,3.74,11/11/2019,
951,Beer - Camerons Auburn,2.24,2/18/2019,
952,Sauce - Chili,3.16,6/30/2019,
953,Milk - Homo,3.34,12/16/2019,
954,Sauce - Plum,2.19,2/20/2019,
955,"Juice - Clam, 46 Oz",2.46,12/25/2019,
956,"Yeast - Fresh, Fleischman",3.25,11/5/2019,
957,Hold Up Tool Storage Rack,3.36,5/13/2019,
958,Oil - Hazelnut,4.32,1/1/2019,
959,Roe - Flying Fish,2.14,6/17/2019,
960,Berry Brulee,1.71,7/11/2019,
961,Juice - Ocean Spray Cranberry,3.98,5/21/2019,
962,"Bar Mix - Pina Colada, 355 Ml",4.55,12/18/2019,
963,Ginger - Fresh,4.59,10/4/2019,
964,"Pepper - Paprika, Hungarian",2.79,10/6/2019,
965,Sauce - Balsamic Viniagrette,2.15,12/7/2019,
966,Soup - Campbells Chili,2.73,1/5/2019,
967,Cut Wakame - Hanawakaba,1.76,2/18/2019,
968,Puree - Mango,2.4,2/28/2019,
969,Coffee - Decafenated,3.44,4/8/2019,
970,Beer - Sleeman Fine Porter,4.11,9/27/2019,
971,Chips - Potato Jalapeno,1,10/4/2019,
972,Skewers - Bamboo,4.41,7/10/2019,
973,Soup - Verve - Chipotle Chicken,1.98,5/30/2019,
974,Tart - Pecan Butter Squares,2.02,10/9/2019,
975,"Nut - Pecan, Halves",3.75,6/3/2019,
976,Pomello,3.37,10/21/2019,
977,Wine - Zinfandel Rosenblum,2.44,4/18/2019,
978,Macaroons - Homestyle Two Bit,3.55,1/9/2019,
979,Icecream - Dibs,1.67,10/10/2019,
980,"Star Anise, Whole",1.6,9/15/2019,
981,"Thyme - Lemon, Fresh",4.89,3/25/2019,
982,"Bread - Sticks, Thin, Plain",4.08,6/3/2019,
983,Bagelers,1.88,12/29/2019,
984,Wasabi Powder,4.95,3/8/2019,
985,"Lamb - Leg, Diced",4.28,8/5/2019,
986,Sauce Tomato Pouch,1.25,4/10/2019,
987,Food Colouring - Green,3.8,10/12/2019,
988,"Lamb - Leg, Diced",2.44,9/12/2019,
989,Nacho Chips,4.79,7/10/2019,
990,Gherkin - Sour,4.82,12/16/2019,
991,Wine - Muscadet Sur Lie,1.82,11/24/2019,
992,Crackers - Trio,1.39,5/20/2019,
993,Calypso - Lemonade,1.09,11/11/2019,
994,"Sole - Dover, Whole, Fresh",3.02,1/20/2019,
995,Pork - Ground,1.46,7/25/2019,
996,Longos - Grilled Salmon With Bbq,2.75,5/17/2019,
997,"Tarragon - Primerba, Paste",2.2,3/6/2019,
998,Quiche Assorted,3.34,2/3/2019,
999,Glove - Cutting,2.87,5/10/2019,
1000,Beans - Soya Bean,4.39,2/18/2019,
